Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
163,Simone Fontecchio,28,2TM,SF,66,43,1644,252,548,.460,134,334,.401,118,214,.551,.582,54,66,.818,64,182,246,101,44,23,68,110,692,0,,fontesi01
163,Simone Fontecchio,28,UTA,SF,50,34,1160,161,358,.450,91,233,.391,70,125,.560,.577,32,40,.800,52,124,176,73,30,18,51,81,445,0,,fontesi01
163,Simone Fontecchio,28,DET,SF,16,9,484,91,190,.479,43,101,.426,48,89,.539,.592,22,26,.846,12,58,70,28,14,5,17,29,247,0,,fontesi01
164,Malaki Branham,20,SAS,PG,75,29,1594,271,628,.432,93,268,.347,178,360,.494,.506,55,63,.873,28,120,148,156,27,8,91,94,690,0,,branhma01
165,Alec Burks,32,2TM,SG,66,1,1212,210,569,.369,124,330,.376,86,239,.360,.478,145,167,.868,24,126,150,88,28,12,48,75,689,0,,burksal01
165,Alec Burks,32,DET,SG,43,0,901,160,406,.394,99,247,.401,61,159,.384,.516,121,134,.903,16,94,110,68,21,11,32,64,540,0,,burksal01
165,Alec Burks,32,NYK,SG,23,1,311,50,163,.307,25,83,.301,25,80,.313,.383,24,33,.727,8,32,40,20,7,1,16,11,149,0,,burksal01
166,Brandin Podziemski,20,GSW,SG,74,28,1968,271,597,.454,90,234,.385,181,363,.499,.529,50,79,.633,118,309,427,273,61,14,88,122,682,0,ROY-5,podzibr01
167,Andre Drummond,30,CHI,C,79,10,1351,267,480,.556,0,3,.000,267,477,.560,.556,129,218,.592,265,443,708,37,73,48,81,140,663,0,,drumman01
168,Terance Mann,27,LAC,SG,75,71,1873,254,493,.515,71,204,.348,183,289,.633,.587,79,95,.832,87,167,254,119,43,15,48,145,658,0,,mannte01
169,Derrick Jones Jr.,26,DAL,SF,76,66,1783,239,495,.483,82,239,.343,157,256,.613,.566,97,136,.713,82,168,250,75,53,51,65,121,657,0,,jonesde02
170,Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,236,538,.439,131,335,.391,105,203,.517,.560,52,65,.800,35,132,167,204,64,42,76,143,655,0,,alexani01
171,Kevin Huerter,25,SAC,SG,64,59,1562,248,560,.443,123,341,.361,125,219,.571,.553,36,47,.766,38,186,224,166,45,23,53,135,655,0,,huertke01
172,Santi Aldama,23,MEM,PF,61,35,1618,247,568,.435,106,304,.349,141,264,.534,.528,54,87,.621,72,280,352,138,43,54,69,89,654,0,,aldamsa01
173,Nick Richards,26,CHO,C,67,51,1759,260,376,.691,0,1,.000,260,375,.693,.691,132,179,.737,172,367,539,54,26,74,73,176,652,0,,richani01
174,Isaac Okoro,23,CLE,SF,69,42,1887,235,480,.490,84,215,.391,151,265,.570,.577,93,137,.679,67,139,206,132,57,34,54,140,647,0,,okorois01
